step,altitude,speed,distance,ata,aspect_angle,aileron,elevator,throttle
334,5974.84,366.99,2092.84,136.776,171.056,-0.25,-0.9,0.8655
335,5972.31,366.69,2082.09,135.4,170.147,-0.25,-0.9,0.8655
336,5969.76,367.01,2070.77,134.491,169.053,0.15,-0.9,0.8655
337,5967.14,366.43,2059.06,133.857,167.538,0.15,-0.9,0.4
338,5964.37,366.84,2046.89,133.161,165.601,0.15,-0.9,0.8655
339,5961.33,366.9,2034.36,132.211,163.413,-0.25,-0.9,0.8655
340,5958.04,366.68,2021.35,131.114,161.505,-0.25,-0.9,0.8655
341,5954.65,366.64,2008.03,130.217,160.363,-0.25,-0.9,0.8655
342,5951.36,365.85,1994.33,129.746,160.003,0.15,-0.9,0.4
343,5948.14,365.09,1980.45,129.463,159.847,0.15,-0.9,0.4
344,5944.9,364.19,1966.32,129.078,159.83,0.15,-0.9,0.4
345,5941.56,363.29,1951.88,128.669,159.918,0.15,-0.9,0.4
346,5937.98,363.3,1937.08,127.925,160.045,-0.25,-0.9,0.8655
347,5934.2,363.08,1921.67,126.989,160.15,-0.25,-0.9,0.8655
348,5930.39,363.09,1905.72,126.227,160.187,-0.25,-0.9,0.8655
349,5926.72,362.34,1889.3,125.878,160.453,0.15,-0.9,0.4
350,5923.15,361.64,1872.53,125.697,160.966,0.15,-0.9,0.4
351,5919.62,362.15,1855.39,125.359,161.467,0.15,-0.9,0.8655
352,5916.06,362.28,1837.78,124.69,161.716,-0.25,-0.9,0.8655
353,5912.55,362.1,1819.49,123.862,161.708,-0.25,-0.9,0.8655
354,5909.27,362.08,1800.65,123.25,161.746,-0.25,-0.9,0.8655
355,5906.48,361.59,1781.24,122.576,161.985,-0.65,-0.9,0.8655
356,5904.69,360.74,1761.2,122.173,162.448,-0.65,-0.8,0.8655
357,5904.19,360.69,1741.0,122.679,162.889,-0.25,-0.8,0.8655
358,5904.72,361.55,1721.26,123.719,163.383,0.15,-0.8,0.8483
359,5906.01,362.49,1702.19,124.816,163.912,0.15,-0.8,0.8483
360,5908.22,362.97,1683.8,125.793,164.102,0.15,-0.8,0.8483
361,5911.56,362.77,1666.08,126.587,164.112,-0.3,-0.8,0.8655
362,5916.44,361.95,1648.93,127.471,164.237,-0.3,-0.9,0.8655
363,5922.9,359.96,1632.45,128.72,164.691,-0.3,-0.9,0.4
364,5930.81,357.66,1616.72,130.295,165.422,-0.3,0.6,0.4
